iter	Passed	Remaining
0	3	317
1	12	616
2	67	2184
3	88	2125
4	96	1828
5	161	2533
6	174	2322
7	199	2293
8	201	2040
9	204	1838
10	213	1724
11	215	1580
12	217	1455
13	219	1348
14	221	1255
15	223	1172
16	225	1099
17	227	1036
18	229	979
19	240	961
20	242	911
21	244	865
22	245	823
23	248	785
24	250	750
25	252	718
26	254	688
27	256	659
28	258	632
29	260	606
30	263	585
31	264	562
32	266	541
33	268	521
34	270	502
35	272	483
36	274	467
37	276	450
38	278	435
39	280	420
40	281	405
41	282	390
42	284	377
43	286	364
44	291	355
45	293	343
46	294	332
47	297	321
48	299	311
49	301	301
50	303	291
51	304	281
52	306	271
53	308	263
54	310	254
55	312	245
56	314	237
57	316	229
58	321	223
59	323	215
60	324	207
61	326	200
62	328	192
63	330	185
64	331	178
65	333	171
66	335	165
67	337	158
68	338	152
69	340	145
70	342	139
71	347	134
72	348	129
73	350	123
74	352	117
75	355	112
76	356	106
77	358	101
78	360	95
79	361	90
80	363	85
81	365	80
82	367	75
83	369	70
84	371	65
85	373	60
86	375	56
87	377	51
88	380	47
89	382	42
90	384	38
91	386	33
92	388	29
93	390	24
94	391	20
95	393	16
96	394	12
97	396	8
98	398	4
99	402	0
